label,backend,integrator,frame,requested_t,actual_t,body_config_id,rx,ry,rz,vx,vy,vz,has_attitude,qx,qy,qz,qs,wx,wy,wz,quaternion_norm,has_invariants,specific_energy,hx,hy,hz,specific_angular_momentum_norm
legacy_dopri54,world_stepper,dormand_prince54,simulation_inertial,0,0,earth,0,0,0,0,0,0,1,0.20312909623818226,0,0,0.979151964845835,0,0,7.2921149960897584e-05,1,0,0,0,0,0,0
legacy_dopri54,world_stepper,dormand_prince54,simulation_inertial,0,0,moon,384400,0,0,0,1.022,0,1,0,0,0,1,0,0,0,1,1,-0.51469983610822057,0,0,392856.79999999999,392856.79999999999
legacy_dopri54,world_stepper,dormand_prince54,simulation_inertial,0,0,sat1,7000,0,0,0,7.5,1,1,0,0,0,1,9.9999999999999995e-07,0.0025000000000000001,9.9999999999999995e-07,1,1,-28.317920257142852,0,-7000,52500,52964.610826475444
legacy_dopri54,world_stepper,dormand_prince54,simulation_inertial,100,100,earth,0.00016590039768343823,1.4702584707416385e-08,1.683524833422144e-23,3.3180079343190498e-06,4.4107754022471436e-10,8.4176241487929392e-25,1,0.20312774606746162,-0.00074061872347621737,0.0035700364532860072,0.97914545655953567,0,0,7.2921149960897584e-05,1,0,0,0,0,0,0
legacy_dopri54,world_stepper,dormand_prince54,simulation_inertial,100,100,moon,384399.98651219712,102.19999880467078,3.9008160763921163e-13,-0.00026975605817265296,1.0219999641401234,1.1702448183735227e-14,1,0,0,0,1,0,0,0,1,1,-0.51469983610597558,7.9732680130164368e-13,-4.4984210282436645e-09,392856.79999999818,392856.79999999818
legacy_dopri54,world_stepper,dormand_prince54,simulation_inertial,100,100,sat1,6959.311817761597,748.54586663016585,99.807161428688445,-0.81296404328427263,7.4563935910360923,0.99421716336060573,1,4.3722494843981518e-05,0.12467473544835043,4.8211598463964288e-05,0.99219766483542438,7.5956579934279659e-07,0.002500000084611959,9.2681177584441329e-07,1,1,-28.317988739548895,0.015669379377694533,-7000.2070541205994,52499.910153879617,52964.549133984299
legacy_dopri54,world_stepper,dormand_prince54,simulation_inertial,250,250,earth,0.0010368774537758648,2.2972788196093518e-07,1.6440671918863848e-21,8.2950193278676426e-06,2.7567345445555448e-09,3.288134359198802e-23,1,0.20312065772025664,-0.0018515252715201223,0.0089249873166612828,0.97911128829304017,0,0,7.2921149960897584e-05,1,0,0,0,0,0,0
legacy_dopri54,world_stepper,dormand_prince54,simulation_inertial,250,250,moon,384399.91570123413,255.49998132298111,6.0950249052992405e-12,-0.00067439010413658691,1.0219997758757771,7.3140296723458216e-14,1,0,0,0,1,0,0,0,1,1,-0.51469983609419145,1.2458230352906825e-11,-2.811512796736631e-08,392856.79999998794,392856.79999998794
legacy_dopri54,world_stepper,dormand_prince54,simulation_inertial,250,250,sat1,6747.0077892073705,1852.3511949941533,246.9963984122912,-2.0114994504270909,7.22889912825178,0.96404710979662833,1,8.5860665932387326e-05,0.30743852368280278,0.00011638912998546075,0.95156793411571794,4.2716169959039043e-07,0.0025000001635065725,8.5292968010251174e-07,1,1,-28.31833951876003,0.24176715793797074,-7001.2675278656852,52499.449987182474,52964.233176851259
legacy_dopri54,world_stepper,dormand_prince54,simulation_inertial,500,500,earth,0.0041475093615945622,1.8378229387604554e-06,5.2610147102077979e-20,1.659003502766424e-05,1.102693700895195e-08,5.2610145484649963e-22,1,0.20309534286759615,-0.0037028967085627335,0.01784923309833962,0.97898926201427794,0,0,7.2921149960897584e-05,1,0,0,0,0,0,0
