label,backend,integrator,frame,requested_t,actual_t,body_config_id,rx,ry,rz,vx,vy,vz,has_attitude,qx,qy,qz,qs,wx,wy,wz,quaternion_norm,has_invariants,specific_energy,hx,hy,hz,specific_angular_momentum_norm
provider_states,world_stepper,rk4,simulation_inertial,0,0,source,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
provider_states,world_stepper,rk4,simulation_inertial,0,0,sat1,7000,0,0,0,7.5,0.20000000000000001,1,0,0,0,1,0,0,0,1,1,-28.797920257142852,0,-1400,52500,52518.663349327544
provider_states,world_stepper,rk4,simulation_inertial,250,250,source,2.5000000000002371,0,0,0.01,0,0,1,0,0,0.12467473338523945,0.99219766722932767,0,0,0.001,1,0,0,0,0,0,0
provider_states,world_stepper,rk4,simulation_inertial,250,250,sat1,6747.2144565702465,1852.3645602652759,49.396388273740683,-2.0106667972585912,7.2289181032946477,0.19277114942118836,1,0,0,0,1,0,0,0,1,1,-28.797870257142502,-4.0982638808826655e-12,-1399.9999999999936,52500.000000000327,52518.663349327871
provider_states,world_stepper,rk4,simulation_inertial,500,500,source,4.9999999999995302,0,0,0.01,0,0,1,0,0,0.24740395925450018,0.96891242171065062,0,0,0.001,1,0,0,0,0,0,0
provider_states,world_stepper,rk4,simulation_inertial,500,500,sat1,6006.3210512918695,3570.5936106157023,95.215829616418603,-3.8817221477641346,6.432623989778393,0.17153663972742042,1,0,0,0,1,0,0,0,1,1,-28.797870257142414,-1.1298934686841267e-11,-1399.99999999999,52500.000000000407,52518.663349327951
provider_states,world_stepper,rk4,simulation_inertial,750,750,source,7.4999999999990417,0,0,0.01,0,0,1,0,0,0.36627252908600305,0.93050762191233194,0,0,0.001,1,0,0,0,0,0,0
provider_states,world_stepper,rk4,simulation_inertial,750,750,sat1,4829.1733752118053,5029.1150754494856,134.10973534531701,-5.4794546094568863,5.1627099412332278,0.13767226509954955,1,0,0,0,1,0,0,0,1,1,-28.797870257141927,-2.618015293111247e-12,-1399.9999999999932,52500.000000000859,52518.663349328403
provider_states,world_stepper,rk4,simulation_inertial,1000,1000,source,9.9999999999998632,0,0,0.01,0,0,1,0,0,0.47942553860419701,0.87758256189037598,0,0,0.001,1,0,0,0,0,0,0
provider_states,world_stepper,rk4,simulation_inertial,1000,1000,sat1,3299.2853171541565,6119.4724811426731,163.18593283046977,-6.6856863745730806,3.5040838288881004,0.093442235437014604,1,0,0,0,1,0,0,0,1,1,-28.797870257141927,-3.2878041252648724e-12,-1400.0000000000082,52500.000000000866,52518.66334932841
