label,backend,integrator,frame,requested_t,actual_t,body_config_id,rx,ry,rz,vx,vy,vz,has_attitude,qx,qy,qz,qs,wx,wy,wz,quaternion_norm,has_invariants,specific_energy,hx,hy,hz,specific_angular_momentum_norm
fixed_rk4_current,world_stepper,rk4,simulation_inertial,0,0,earth,0,0,0,0,0,0,1,0.20312909623818226,0,0,0.979151964845835,0,0,7.2921149960897584e-05,1,0,0,0,0,0,0
fixed_rk4_current,world_stepper,rk4,simulation_inertial,0,0,moon,384400,0,0,0,1.022,0,1,0,0,0,1,0,0,0,1,1,-0.51469983610822057,0,0,392856.79999999999,392856.79999999999
fixed_rk4_current,world_stepper,rk4,simulation_inertial,0,0,sat1,7000,0,0,0,7.5,1,1,0,0,0,1,9.9999999999999995e-07,0.0025000000000000001,9.9999999999999995e-07,1,1,-28.317920257142852,0,-7000,52500,52964.610826475444
fixed_rk4_current,world_stepper,rk4,simulation_inertial,100,100,earth,0.00016590039768344297,1.4702584707417121e-08,1.6835248286450584e-23,3.3180079343190977e-06,4.4107754022472935e-10,8.4176241312625697e-25,1,0.20312774606746939,-0.00074061872347623895,0.0035700364532860237,0.979145456559534,0,0,7.2921149960897584e-05,1,0,0,0,0,0,0
fixed_rk4_current,world_stepper,rk4,simulation_inertial,100,100,moon,384399.98651219707,102.19999880467289,3.900816071703174e-13,-0.00026975605817265746,1.0219999641401247,1.1702448157700528e-14,1,0,0,0,1,0,0,0,1,1,-0.51469983610597447,7.9732679912013142e-13,-4.4984210182359247e-09,392856.79999999865,392856.79999999865
fixed_rk4_current,world_stepper,rk4,simulation_inertial,100,100,sat1,6959.3118177620163,748.54586663018586,99.807161428691117,-0.81296404328412764,7.4563935910355443,0.9942171633605319,1,4.3722494844026052e-05,0.12467473544835182,4.82115984639201e-05,0.99219766483542415,7.5956579934272089e-07,0.0025000000846119542,9.26811775844327e-07,1,1,-28.317988739549772,0.015669379377110864,-7000.2070541204903,52499.910153878838,52964.549133983513
fixed_rk4_current,world_stepper,rk4,simulation_inertial,250,250,earth,0.0010368774537759433,2.297278819609642e-07,1.6440671882100608e-21,8.2950193278679831e-06,2.7567345445557802e-09,3.2881343515538581e-23,1,0.20312065772026444,-0.001851525271520204,0.0089249873166614199,0.97911128829303851,0,0,7.2921149960897584e-05,1,0,0,0,0,0,0
fixed_rk4_current,world_stepper,rk4,simulation_inertial,250,250,moon,384399.91570123384,255.49998132299248,6.0950248924385643e-12,-0.00067439010413661955,1.0219997758757857,7.3140296648009615e-14,1,0,0,0,1,0,0,0,1,1,-0.51469983609418346,1.2458230346774095e-11,-2.8115127938363846e-08,392856.79999999097,392856.79999999097
fixed_rk4_current,world_stepper,rk4,simulation_inertial,250,250,sat1,6747.0077892101563,1852.3511949944448,246.9963984123288,-2.0114994504253398,7.2288991282484902,0.96404710979618347,1,8.5860665932631055e-05,0.30743852368280944,0.00011638912998516528,0.95156793411571572,4.2716169959008375e-07,0.0025000001635065707,8.5292968010199834e-07,1,1,-28.318339518765292,0.24176715793562964,-7001.2675278650131,52499.449987177759,52964.233176846501
fixed_rk4_current,world_stepper,rk4,simulation_inertial,500,500,earth,0.0041475093615938475,1.837822938759973e-06,5.2610147060680518e-20,1.6590035027662732e-05,1.1026937008950001e-08,5.2610145481704099e-22,1,0.20309534286760786,-0.0037028967085629911,0.017849233098340245,0.9789892620142755,0,0,7.2921149960897584e-05,1,0,0,0,0,0,0
