label,backend,integrator,frame,requested_t,actual_t,body_config_id,rx,ry,rz,vx,vy,vz,has_attitude,qx,qy,qz,qs,wx,wy,wz,quaternion_norm,has_invariants,specific_energy,hx,hy,hz,specific_angular_momentum_norm
fixed_rk4_legacy,world_stepper_legacy,rk4,simulation_inertial,0,0,earth,0,0,0,0,0,0,1,0.20312909623818226,0,0,0.979151964845835,0,0,7.2921149960897584e-05,1,0,0,0,0,0,0
fixed_rk4_legacy,world_stepper_legacy,rk4,simulation_inertial,0,0,moon,384400,0,0,0,1.022,0,1,0,0,0,1,0,0,0,1,1,-0.51469983610822057,0,0,392856.79999999999,392856.79999999999
fixed_rk4_legacy,world_stepper_legacy,rk4,simulation_inertial,0,0,sat1,7000,0,0,0,7.5,1,1,0,0,0,1,9.9999999999999995e-07,0.0025000000000000001,9.9999999999999995e-07,1,1,-28.317920257142852,0,-7000,52500,52964.610826475444
fixed_rk4_legacy,world_stepper_legacy,rk4,simulation_inertial,100,100,earth,0.00016590039768344322,1.4702584707417139e-08,1.6835248278951855e-23,3.3180079343191019e-06,4.4107754022473075e-10,8.4176241275522283e-25,1,0.20312774606746939,-0.00074061872347625055,0.0035700364532860749,0.979145456559534,0,0,7.2921149960897584e-05,1,0,0,0,0,0,0
fixed_rk4_legacy,world_stepper_legacy,rk4,simulation_inertial,100,100,moon,384399.98651219695,102.19999880467292,3.9008160700020819e-13,-0.00026975605817265702,1.0219999641401252,1.1702448152982968e-14,1,0,0,0,1,0,0,0,1,1,-0.51469983610597425,7.9732679881184862e-13,-4.4984210164224933e-09,392856.79999999871,392856.79999999871
fixed_rk4_legacy,world_stepper_legacy,rk4,simulation_inertial,100,100,sat1,6959.3118177620154,748.54586663018665,99.807161428691089,-0.8129640432841293,7.4563935910355568,0.99421716336053412,1,4.3722494844026025e-05,0.1246747354483512,4.8211598463919897e-05,0.99219766483542415,7.595657993427211e-07,0.0025000000846119529,9.2681177584432742e-07,0.99999999999999989,1,-28.31798873954968,0.015669379378540994,-7000.2070541205048,52499.910153878918,52964.549133983601
fixed_rk4_legacy,world_stepper_legacy,rk4,simulation_inertial,250,250,earth,0.0010368774537759492,2.2972788196096435e-07,1.6440671877005151e-21,8.2950193278679831e-06,2.7567345445557901e-09,3.2881343507351092e-23,1,0.20312065772026444,-0.0018515252715202788,0.0089249873166617807,0.97911128829303851,0,0,7.2921149960897584e-05,1,0,0,0,0,0,0
fixed_rk4_legacy,world_stepper_legacy,rk4,simulation_inertial,250,250,moon,384399.91570123384,255.49998132299299,6.0950248912921695e-12,-0.00067439010413661326,1.0219997758757862,7.314029663362752e-14,1,0,0,0,1,0,0,0,1,1,-0.51469983609418302,1.2458230344271121e-11,-2.8115127932835365e-08,392856.79999999114,392856.79999999114
fixed_rk4_legacy,world_stepper_legacy,rk4,simulation_inertial,250,250,sat1,6747.0077892101208,1852.3511949944436,246.99639841232957,-2.0114994504253625,7.2288991282484245,0.96404710979618591,1,8.5860665932630038e-05,0.30743852368280672,0.00011638912998516442,0.95156793411571661,4.2716169959008105e-07,0.002500000163506559,8.5292968010200236e-07,1,1,-28.318339518765995,0.24176715794974457,-7001.2675278650022,52499.449987177097,52964.233176845839
fixed_rk4_legacy,world_stepper_legacy,rk4,simulation_inertial,500,500,earth,0.0041475093615938223,1.8378229387599734e-06,5.2610147048678646e-20,1.6590035027662776e-05,1.1026937008950053e-08,5.2610145469354177e-22,1,0.20309534286760783,-0.0037028967085626524,0.017849233098338715,0.9789892620142755,0,0,7.2921149960897584e-05,1,0,0,0,0,0,0
fixed_rk4_legacy,world_stepper_legacy,rk4,simulation_inertial,500,500,moon,384399.66280497244,510.99985058381571,4.8760192920675592e-11,-0.0013487799133084643,1.021999103503209,2.925611243968617e-13,1,0,0,0,1,0,0,0,1,1,-0.51469983605210001,9.9665817186785265e-11,-1.1246046272806603e-07,392856.79999995313,392856.79999995313
fixed_rk4_legacy,world_stepper_legacy,rk4,simulation_inertial,500,500,sat1,6006.5409178400951,3570.851147115849,476.24049612124759,-3.8759004189983286,6.4359275794515991,0.85887039241948504,1,9.752339013212983e-05,0.58509728665745864,0.00023078414928056316,0.81096307090640363,-8.9450461699471194e-08,0.0025000001983997004,8.181282265224431e-07,1,1,-28.319477162876836,1.8489862295299908,-7004.7052323228509,52497.958281637344,52963.209141355997
fixed_rk4_legacy,world_stepper_legacy,rk4,simulation_inertial,750,750,earth,0.0093318943629270724,6.2026517605995878e-06,3.9950826665378498e-19,2.4885043471316932e-05,2.4810603885372483e-08,2.6633882643525115e-21,1,0.20305315378350788,-0.0055539604894315805,0.026771995871660504,0.9787858961481315,0,0,7.2921149960897584e-05,1,0,0,0,0,0,0
fixed_rk4_legacy,world_stepper_legacy,rk4,simulation_inertial,750,750,moon,384399.24131132627,766.49949572047774,1.6456561616762134e-10,-0.0020231691325512595,1.0219979828825736,6.5826229697910134e-13,1,0,0,0,1,0,0,0,1,1,-0.5146998359819529,3.3637198927795903e-10,-2.5303585741527548e-07,392856.79999989329,392856.79999989329
fixed_rk4_legacy,world_stepper_legacy,rk4,simulation_inertial,750,750,sat1,4832.674248377979,5031.6676991946497,671.30173991121001,-5.4576406507494983,5.1803289086645217,0.69228597069462527,1,5.0154847347650123e-05,0.80608109351883217,0.00036154899525404026,0.59180498260685432,-6.1783674603849736e-07,0.002500000123655532,8.9101482306328173e-07,1,1,-28.321009093691949,5.7891600123195097,-7009.3264927809869,52495.953008452903,52961.833178832385
fixed_rk4_legacy,world_stepper_legacy,rk4,simulation_inertial,1000,1000,earth,0.01659003019023219,1.4702579768412484e-05,1.683524326320713e-18,3.3180041030763589e-05,4.4107729327474025e-08,8.4176206202976247e-21,1,0.20299409397325566,-0.007404562817992324,0.035692534286471359,0.97850120759131443,0,0,7.2921149960897584e-05,1,0,0,0,0,0,0
fixed_rk4_legacy,world_stepper_legacy,rk4,simulation_inertial,1000,1000,moon,384398.6512204801,1021.9988046710208,3.900813445978251e-10,-0.0026975574669007587,1.0219964140143405,1.1702435034591955e-12,1,0,0,0,1,0,0,0,1,1,-0.51469983588375501,7.9732571947421757e-10,-4.4984106688890137e-07,392856.79999980645,392856.79999980645
fixed_rk4_legacy,world_stepper_legacy,rk4,simulation_inertial,1000,1000,sat1,3310.8305089383734,6130.1509351227296,818.28067923123479,-6.6430797401184876,3.5552349953684068,0.47658438616247123,1,-2.9273550048189182e-05,0.94898451904794645,0.00052226372198395669,0.31532223041041979,-1.2275472044109652e-06,0.0024999998986255513,1.0811833238104156e-06,1,1,-28.322504319102176,12.354142747532284,-7013.8131717589449,52494.006143593571,52960.498570508396
